Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Derailment,"{'Track Type': 'Industry', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0061570755,0.35355725276841476,Track Type=Industry(Score:0.0000); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Hazmat Cars Damaged': '0', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0061570755,0.35355725276841476,Hazmat Cars Damaged=0(N/A); Equipment Type=Freight Train(Score:0.0123)
A,Other impacts,"{'Passengers Transported': 'No', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.0038176098499999997,0.35158772181474285,Passengers Transported=No(Score:0.0046); Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Equipment Type': 'Single Car', 'Class': '1L'}",0.2296618809451954,0.003746834,0.34928614135769204,Equipment Type=Single Car(Score:0.0030); Class=1L(Score:0.0045)
A,Side collision,"{'First Car Position': '1.0', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.0062882163500000005,0.3439086917753241,First Car Position(Score:0.0115); Equipment Type=Cut of cars(Score:0.0011)
A,Obstruction,"{'Track Type': 'Main', 'Passengers Transported': 'Yes'}",0.1477360651676255,0.005642068,0.32826365486724396,Track Type=Main(Score:0.0113); Passengers Transported=Yes(Score:0.0000)
A,Obstruction,"{'First Car Position': '1.0', 'Passengers Transported': 'Yes'}",0.1442561128412305,0.00574686,0.3281605266186288,First Car Position(Score:0.0115); Passengers Transported=Yes(Score:0.0000)
A,Broken train collision,"{'Track Type': 'Yard', 'Equipment Type': 'Cut of cars'}",0.0129539580888714,0.009759769849999999,0.3261880528971743,Track Type=Yard(Score:0.0184); Equipment Type=Cut of cars(Score:0.0011)
A,Other impacts,{'Equipment Type': 'Single Car'},0.2296618809451954,0.0029990387,0.3249683684400307,Equipment Type=Single Car(Score:0.0030)
A,Other impacts,"{'Conductors On Duty': '0.0', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.0028095321,0.31880574818125385,Conductors On Duty(Score:0.0026); Equipment Type=Single Car(Score:0.0030)
